Year,Pay,Productivity
2011q3,221.2,338.1
2011q4,221.4,338.5
2012q1,219.9,340
2012q2,220.4,341.8
2012q3,220.5,339.8
2012q4,219.8,339.5
2013q1,221.4,342.3
2013q2,223.1,343.4
2013q3,223.5,344.8
2013q4,224,346.9
2014q1,223.7,344.1
2014q2,223.5,345.9
2014q3,223.9,348.9
2014q4,225.2,348.5
2015q1,228.1,352
2015q2,227.8,353.6
2015q3,228.2,354.6
2015q4,229.9,353.5
2016q1,231.5,354.5
2016q2,231.1,354.3
2016q3,231.5,355.3
2016q4,231.4,357.8
2017q1,231.2,357.7
2017q2,232.4,357.8
2017q3,233.3,361.3
2017q4,232.7,362.6
2018q1,233.3,364
2018q2,234,364.4
2018q3,235.1,365.5
2018q4,236.7,365.2
2019q1,237.9,367.4
2019q2,238.2,368.8
2019q3,239.7,372.1
2019q4,240,374.1
2020q1,241.2,373.5
2020q2,253.8,385.8
2020q3,248.2,392.1
2020q4,248.2,389.6
2021q1,248.6,394.4
2021q2,247.5,395
2021q3,247.3,393.5
2021q4,246.2,395.1
2022q1,244.2,390.6
2022q2,241.7,388.1
2022q3,241.6,387.1
2022q4,242.5,389.8
2023q1,243.5,390.3
2023q2,245,391.7
2023q3,246,395.5
2023q4,247.5,397.3
2024q1,247.5,398
2024q2,247.9,399.3
2024q3,250.1,400.6
