name,date_accessed,date_published,source,source_url,source_url_2,access_method,data_location
BLS total economy hours,2025-05-15,2025-05-08,BLS Office of Productivity and Technology,https://www.bls.gov/productivity/tables/home.htm,https://www.bls.gov/productivity/tables/total-economy-hours-employment.xlsx,manual download,data_inputs/total-economy-hours-employment.xlsx
"CES production and nonsupervisory average hourly earnings, private-sector, seasonally adjusted",2025-05-15,NA,"BLS Current Employment Statistics, series CES0500000008",https://www.bls.gov/developers/home.htm,NA,BLS API,data_inputs/bls_series_codes.csv
"CES production and nonsupervisory average hourly earnings, private-sector, not seasonally adjusted",2025-05-15,NA,"BLS Current Employment Statistics, series CEU0500000008",https://www.bls.gov/developers/home.htm,NA,BLS API,data_inputs/bls_series_codes.csv
"CES production average hourly earnings, private-sector, not seasonally adjusted",2025-05-15,NA,"BLS Current Employment Statistics, series EEU00500006",https://data.bls.gov/series-report,NA,manual_download,data_inputs/bls_EEU00500006.csv
