name,value
"Productivity, 1979q4–2024q2, total percent growth",29.4%
"Hourly pay, 1979q4–2024q2, total percent growth",81.3%
Productivity has grown by __ as much as pay,2.8x
"Productivity, 1948–1979, average annual growth",2.0%
"Compensation, 1948–1979, average annual growth",2.4%
"Productivity, 1979–2024, average annual growth",0.6%
"Compensation, 1979–2024, average annual growth",1.3%
