year,quarter,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
1954,3,1.73,NA,1.73,213224,196334,1.0860268725742868,1.878826489553516,129454.00000000001,344696,2.662690994484527,18.63480666128907,26.409427457437044,17.368934014839844,24.61542055227272,0.6348080665223625,0.6330785169858774,0.5632063989154175,0.5616719298096197
1954,4,1.74,NA,1.746814621409922,217536,200360,1.0857256937512478,1.8965615166851109,130670.99999999999,352743,2.699474252129394,18.838432338539874,26.813716613450335,17.628694753450127,25.09183444192404,0.6417447213972647,0.642546509841976,0.5718282533666649,0.5725426889835415
1955,1,1.76,NA,1.76,221895,204056,1.0874220802132748,1.9138628611753636,132574,365613,2.757803189162279,18.996286823109518,27.372922817907483,17.69283003727877,25.494691438940418,0.6471221477351352,0.6448841703073803,0.5837538626276403,0.5817350351582083
1955,2,1.7866666666666666,NA,1.7866666666666668,228083,209851,1.0868806915382818,1.9418935022150636,133626,373354,2.7940221214434318,19.302936958965223,27.773321662932165,18.05005927468756,25.970664637023372,0.657568404751891,0.6579047826057245,0.5922927524615712,0.5925957386809123
1955,3,1.82,NA,1.8200000000000003,233910,215246,1.0867100898506825,1.9778123635282425,135466,380906,2.81181994005876,19.645492150329538,27.929639625683144,18.383928034762516,26.13609681989044,0.6692377932601663,0.6700739312314017,0.5956263831140592,0.5963705518394462
1955,4,1.8366666666666667,NA,1.8438598781549174,238391,219451,1.0863062824958647,2.002996569681746,136974,386489,2.8216230817527412,19.837171758075133,27.94464182141455,18.618017295238527,26.2272178254722,0.6757674967014967,0.6786062269806893,0.5959463193431701,0.5984497408154222
1956,1,1.8533333333333335,NA,1.8533333333333333,242828,223282,1.0875395240099963,2.015573251165193,136717,387603,2.8350753746790818,19.932437162476624,28.03666982780583,18.734918580502693,26.352257990869496,0.6790127810918205,0.6828671500888979,0.5979089049449418,0.601302893409475
1956,2,1.89,NA,1.8899999999999997,247491,227501,1.0878677456362829,2.056070039252574,137096,392505,2.8629938145533056,20.229027780354343,28.168097537491978,18.904730469019615,26.324067451649583,0.6891163534071022,0.6890566064169036,0.6007117270511511,0.6006596448193321
1956,3,1.9166666666666665,NA,1.9166666666666665,250420,229953,1.0890051445295343,2.087259860348274,136908,396371,2.895163175270985,20.328161602336984,28.19646274528729,18.986251456964784,26.33514738575372,0.6924934182193978,0.6920279566510317,0.6013166423437158,0.6009124655240289
1956,4,1.96,NA,1.9676762402088774,256363,235367,1.0892053686370646,2.1432035245751035,136866,404431,2.9549413294755453,20.678769010556778,28.51084765927049,19.39143188990559,26.735931922542033,0.7044371112754023,0.7067963372193902,0.6080212025074369,0.610057522531595
1957,1,1.98,NA,1.98,260222,238266,1.0921491106578363,2.1624552391025156,136559,412466,3.020423406732621,20.701515744220742,28.914976633060366,19.359665061649363,27.040737972906253,0.7052119950871522,0.7056384713132491,0.6166396409189626,0.6170125531053022
1957,2,2,NA,2,262057,239617,1.0936494489122224,2.1872988978244448,136039,413606,3.0403487235278117,20.76239566463077,28.859760876360124,19.37810117291344,26.935589472504205,0.7072859132805621,0.7063104472657212,0.6154621118890489,0.6146132863118713
1957,3,2.0266666666666664,NA,2.0266666666666664,264724,241829,1.0946743359977504,2.2185399876221075,136375,420003,3.0797653528872595,20.882472411423457,28.988936586290066,19.452250097655696,27.0035096147486,0.7113764138610756,0.7090130939147222,0.6182169079380825,0.6161630805673195
1957,4,2.04,NA,2.04798955613577,263301,240092,1.096667110940806,2.2459627897643584,133685,414416,3.0999438979691063,21.037757083553707,29.036931063742585,19.692694357676153,27.180435930131186,0.7166662976933743,0.7177770223988458,0.6192404362541516,0.6202001655638569
1958,1,2.0433333333333334,NA,2.0433333333333334,259767,236724,1.0973412074821312,2.2422338672884883,130583,406448,3.112564422627754,20.75760322608622,28.814736162499653,19.360608163744764,26.875492806547257,0.7071226554211333,0.7056728463460181,0.6145019166331532,0.61324200726866
1958,2,2.06,NA,2.06,259426,236276,1.097978635155496,2.261835988420322,129829.00000000001,409976,3.157815280099207,20.79623962340895,29.034237490079956,19.43122735506549,27.128503997215912,0.7084388320323338,0.7082468380989876,0.6191829932094212,0.6190151884915651
1958,3,2.083333333333333,NA,2.083333333333333,267228,243837,1.0959288377071568,2.2831850785565764,130715,422897,3.2352599166124776,21.006861210828735,29.76659960137856,19.614635447599678,27.79382382907992,0.7156138076093852,0.7149318610903551,0.634801318448442,0.6341963824553288
1958,4,2.11,NA,2.1182637075718014,272263,248432,1.0959256456495137,2.321459521376559,132563,435773,3.2872898169172395,21.344442625262378,30.224679019254754,19.943447706371348,28.240807972607197,0.7271137608359286,0.7269167058120918,0.6445703018834339,0.6443956169537248
1959,1,2.14,NA,2.14,279746,254011,1.1013145100015354,2.356813051403286,134142,445866,3.323835935053898,21.625243784795703,30.498287657312112,20.247166668873682,28.554772351144848,0.7366794539177294,0.7379869275192609,0.6504052688095737,0.6515596212416158
