name,year,quarter,frequency,value,source
nipa_ndp,1963,1,quarterly,545154,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1963,2,quarterly,552226,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1963,3,quarterly,565941,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1963,4,quarterly,574415,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1964,1,quarterly,589205,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1964,2,quarterly,596919,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1964,3,quarterly,609086,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1964,4,quarterly,613080,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1965,1,quarterly,632175,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1965,2,quarterly,643044,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1965,3,quarterly,660550,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1965,4,quarterly,681366,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1966,1,quarterly,703424,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1966,2,quarterly,710643,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1966,3,quarterly,723350,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1966,4,quarterly,735002,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1967,1,quarterly,743902,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1967,2,quarterly,746633,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1967,3,quarterly,760614,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1967,4,quarterly,774455,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1968,1,quarterly,799891,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1968,2,quarterly,822398,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1968,3,quarterly,836292,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1968,4,quarterly,850580,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1969,1,quarterly,872872,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1969,2,quarterly,885514,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1969,3,quarterly,903631,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1969,4,quarterly,908858,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1970,1,quarterly,918962,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1970,2,quarterly,932103,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1970,3,quarterly,947732,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1970,4,quarterly,947097,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1971,1,quarterly,990510,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1971,2,quarterly,1008674,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1971,3,quarterly,1027315,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1971,4,quarterly,1037198,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1972,1,quarterly,1074667,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1972,2,quarterly,1107417,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1972,3,quarterly,1127861,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1972,4,quarterly,1162470,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1973,1,quarterly,1207000,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1973,2,quarterly,1238493,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1973,3,quarterly,1252597,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1973,4,quarterly,1288681,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1974,1,quarterly,1296900,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1974,2,quarterly,1327931,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1974,3,quarterly,1348845,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1974,4,quarterly,1379722,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1975,1,quarterly,1387372,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1975,2,quarterly,1416075,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1975,3,quarterly,1467688,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1975,4,quarterly,1514441,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1976,1,quarterly,1568560,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1976,2,quarterly,1595633,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1976,3,quarterly,1623866,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1976,4,quarterly,1664685,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1977,1,quarterly,1711111,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1977,2,quarterly,1770249,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1977,3,quarterly,1824718,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1977,4,quarterly,1861905,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1978,1,quarterly,1891162,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1978,2,quarterly,2009634,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1978,3,quarterly,2063074,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1978,4,quarterly,2133747,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1979,1,quarterly,2171831,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1979,2,quarterly,2224022,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1979,3,quarterly,2287257,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1979,4,quarterly,2330674,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1980,1,quarterly,2383093,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1980,2,quarterly,2376384,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1980,3,quarterly,2421120,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1980,4,quarterly,2534920,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1981,1,quarterly,2658664,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1981,2,quarterly,2682100,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1981,3,quarterly,2766092,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1981,4,quarterly,2772393,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1982,1,quarterly,2752375,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1982,2,quarterly,2798094,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1982,3,quarterly,2823573,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1982,4,quarterly,2853260,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1983,1,quarterly,2921105,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1983,2,quarterly,3019767,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1983,3,quarterly,3123010,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1983,4,quarterly,3221774,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1984,1,quarterly,3325808,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1984,2,quarterly,3418108,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1984,3,quarterly,3481074,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1984,4,quarterly,3531882,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1985,1,quarterly,3606518,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1985,2,quarterly,3660325,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1985,3,quarterly,3741607,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1985,4,quarterly,3786916,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1986,1,quarterly,3839705,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1986,2,quarterly,3865423,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1986,3,quarterly,3916716,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1986,4,quarterly,3955506,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1987,1,quarterly,4009556,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1987,2,quarterly,4082390,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1987,3,quarterly,4148480,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1987,4,quarterly,4258908,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1988,1,quarterly,4309570,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1988,2,quarterly,4412356,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1988,3,quarterly,4491463,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1988,4,quarterly,4594375,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1989,1,quarterly,4692825,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1989,2,quarterly,4780780,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1989,3,quarterly,4850477,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1989,4,quarterly,4889204,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1990,1,quarterly,5002680,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1990,2,quarterly,5077798,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1990,3,quarterly,5120102,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1990,4,quarterly,5097868,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1991,1,quarterly,5116207,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1991,2,quarterly,5197916,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1991,3,quarterly,5268156,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1991,4,quarterly,5320667,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1992,1,quarterly,5414933,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1992,2,quarterly,5515582,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1992,3,quarterly,5603289,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1992,4,quarterly,5706526,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1993,1,quarterly,5743293,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1993,2,quarterly,5811403,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1993,3,quarterly,5873403,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1993,4,quarterly,5992138,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1994,1,quarterly,6082367,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1994,2,quarterly,6199961,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1994,3,quarterly,6268804,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1994,4,quarterly,6375381,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1995,1,quarterly,6423138,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1995,2,quarterly,6465244,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1995,3,quarterly,6552363,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1995,4,quarterly,6628727,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1996,1,quarterly,6712893,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1996,2,quarterly,6865280,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1996,3,quarterly,6949528,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1996,4,quarterly,7063561,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1997,1,quarterly,7149353,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1997,2,quarterly,7287601,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1997,3,quarterly,7415017,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1997,4,quarterly,7500934,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1998,1,quarterly,7585134,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1998,2,quarterly,7669665,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1998,3,quarterly,7802329,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1998,4,quarterly,7955194,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1999,1,quarterly,8052995,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1999,2,quarterly,8143002,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1999,3,quarterly,8275971,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,1999,4,quarterly,8456974,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2000,1,quarterly,8523209,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2000,2,quarterly,8741587,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2000,3,quarterly,8793202,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2000,4,quarterly,8900900,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2001,1,quarterly,8903787,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2001,2,quarterly,9004980,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2001,3,quarterly,8986441,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2001,4,quarterly,9034474,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2002,1,quarterly,9145970,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2002,2,quarterly,9238209,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2002,3,quarterly,9319637,"NIPA, Table 1.7.5, Line 30, Net domestic product"
